S1	S2	Pdb	Substance
1	6271	A1CF	SET
1	7948	A1CF	HEPATOCYTES
1	7945	A1CF	IL-6
1	6622	A1CF	SP1
2	6271	A2M	SET
2	2	A2M	A2M
2	3841	A2M	LRP1
2	1218	A2M	CDX2
2	810	A2M	C3
2	4120	A2M	MET
2	6761	A2M	STAT5B
2	7948	A2M	HEPATOCYTES
2	7944	A2M	INTERLEUKIN
2	4531	A2M	NGF
2	10132	A2M	PHEOCHROMOCYTOMA
2	942	A2M	CAT
3	6271	AAMP	SET
3	3	AAMP	AAMP
3	5879	AAMP	RHOA
3	2747	AAMP	GNA12
3	4586	AAMP	NOD2
4	6271	AARS	SET
4	636	AARS	BCR
4	3421	AARS	ISG15
5	5	AATF	AATF
5	208	AATF	AKT1
5	7374	AATF	TSG101
5	2977	AATF	HDAC1
5	1727	AATF	DAP
5	7716	AATF	WT1
5	2297	AATF	F13A1
5	6271	AATF	SET
5	9729	AATF	OBESITY
5	10071	AATF	RETINOBLASTOMA
5	13270	AATF	DOXORUBICIN
5	2645	AATF	GC
5	5831	AATF	REST
5	6622	AATF	SP1
5	9737	AATF	NEUROBLASTOMA
5	3218	AATF	ID2
5	6614	AATF	SOX2
5	3219	AATF	ID3
5	6684	AATF	SRC
6	6	ABAT	ABAT
6	7341	ABAT	TRIO
6	15166	ABAT	VIGABATRIN
6	11264	ABAT	NARCOLEPSY
6	6271	ABAT	SET
6	9737	ABAT	NEUROBLASTOMA
6	2645	ABAT	GC
6	5831	ABAT	REST
6	13205	ABAT	DIAZEPAM
6	14434	ABAT	PHENELZINE
7	7	ABCA1	ABCA1
7	898	ABCA1	CAMP
7	6271	ABCA1	SET
7	20	ABCA1	ABCG1
7	7840	ABCA1	ZNF202
7	4106	ABCA1	MEGF10
7	869	ABCA1	CAD
7	6357	ABCA1	SHE
7	6598	ABCA1	SON
7	2498	ABCA1	FOS
7	5059	ABCA1	PI3
7	7036	ABCA1	TG
7	3089	ABCA1	HMGCR
7	3741	ABCA1	LCAT
7	9729	ABCA1	OBESITY
7	7632	ABCA1	VLDLR
7	22	ABCA1	ABCG8
8	8	ABCB1	ABCB1
8	7922	ABCB1	BLOOD-BRAIN
8	13048	ABCB1	COLCHICINE
8	15151	ABCB1	VERAPAMIL
8	15171	ABCB1	VINBLASTINE
8	15172	ABCB1	VINCRISTINE
8	13772	ABCB1	ISOSORBIDE
8	846	ABCB1	CA3
8	7948	ABCB1	HEPATOCYTES
8	1276	ABCB1	CFTR
8	14796	ABCB1	SORAFENIB
8	13780	ABCB1	IVERMECTIN
8	13091	ABCB1	CYCLOSPORINE
8	13120	ABCB1	DACTINOMYCIN
8	13270	ABCB1	DOXORUBICIN
8	2645	ABCB1	GC
8	5831	ABCB1	REST
9	7006	ABCB7	TES
9	9	ABCB7	ABCB7
9	8	ABCB7	ABCB1
9	14773	ABCB7	SIROLIMUS
9	7937	ABCB7	NANOG
10	6271	ABCB8	SET
10	689	ABCB8	BMPR2
10	6326	ABCB8	SH2B3
10	6502	ABCB8	SMARCA4
10	10	ABCB8	ABCB8
10	13270	ABCB8	DOXORUBICIN
10	8	ABCB8	ABCB1
10	2645	ABCB8	GC
10	5831	ABCB8	REST
11	6271	ABCC2	SET
11	11	ABCC2	ABCC2
11	1712	ABCC2	CYP3A4
11	13382	ABCC2	ERYTHROMYCIN
11	13007	ABCC2	CISPLATIN
11	7948	ABCC2	HEPATOCYTES
11	6612	ABCC2	SOX17
11	7922	ABCC2	BLOOD-BRAIN
11	13772	ABCC2	ISOSORBIDE
11	4120	ABCC2	MET
11	1725	ABCC2	DAO
11	14047	ABCC2	METHOTREXATE
11	14841	ABCC2	SULFINPYRAZONE
12	6271	ABCC9	SET
12	14474	ABCC9	POTASSIUM
13	10546	ABCD1	ADRENOMYELONEUROPATHY
13	10544	ABCD1	ADRENOLEUKODYSTROPHY
13	5007	ABCD1	PEX19
13	13	ABCD1	ABCD1
13	14	ABCD1	ABCD2
13	15	ABCD1	ABCD3
13	16	ABCD1	ABCD4
13	1437	ABCD1	CNTNAP2
13	2594	ABCD1	GABRR1
13	2595	ABCD1	GABRR2
13	2574	ABCD1	G6PD
13	2349	ABCD1	FAS
13	824	ABCD1	C6
13	13946	ABCD1	LOVASTATIN
13	7948	ABCD1	HEPATOCYTES
13	7944	ABCD1	INTERLEUKIN
13	7922	ABCD1	BLOOD-BRAIN
13	13463	ABCD1	FENOFIBRATE
13	6271	ABCD1	SET
14	14	ABCD2	ABCD2
14	10544	ABCD2	ADRENOLEUKODYSTROPHY
14	13	ABCD2	ABCD1
14	2349	ABCD2	FAS
14	4822	ABCD2	PA2G4
14	4531	ABCD2	NGF
14	6684	ABCD2	SRC
14	15	ABCD2	ABCD3
14	16	ABCD2	ABCD4
14	7948	ABCD2	HEPATOCYTES
14	13271	ABCD2	DOXYCYCLINE
14	10546	ABCD2	ADRENOMYELONEUROPATHY
14	13463	ABCD2	FENOFIBRATE
14	6271	ABCD2	SET
14	2645	ABCD2	GC
14	5831	ABCD2	REST
14	5007	ABCD2	PEX19
15	6271	ABCD3	SET
15	5205	ABCD3	PMP22
15	5974	ABCD3	RPE65
15	824	ABCD3	C6
15	10544	ABCD3	ADRENOLEUKODYSTROPHY
15	15	ABCD3	ABCD3
15	13463	ABCD3	FENOFIBRATE
15	13	ABCD3	ABCD1
15	14	ABCD3	ABCD2
15	16	ABCD3	ABCD4
15	10546	ABCD3	ADRENOMYELONEUROPATHY
16	6271	ABCD4	SET
16	13	ABCD4	ABCD1
16	14	ABCD4	ABCD2
16	15	ABCD4	ABCD3
16	16	ABCD4	ABCD4
16	10546	ABCD4	ADRENOMYELONEUROPATHY
16	10544	ABCD4	ADRENOLEUKODYSTROPHY
16	2645	ABCD4	GC
16	6622	ABCD4	SP1
16	7922	ABCD4	BLOOD-BRAIN
16	13463	ABCD4	FENOFIBRATE
17	6271	ABCE1	SET
17	17	ABCE1	ABCE1
17	254	ABCE1	ANAPC10
17	797	ABCE1	C2
17	4214	ABCE1	MOS
17	4762	ABCE1	OFD1
17	7599	ABCE1	VANGL2
17	4806	ABCE1	OTX2
17	7922	ABCE1	BLOOD-BRAIN
19	6271	ABCF3	SET
20	1264	ABCG1	CETP
20	20	ABCG1	ABCG1
20	6271	ABCG1	SET
20	7	ABCG1	ABCA1
20	6622	ABCG1	SP1
20	3841	ABCG1	LRP1
20	22	ABCG1	ABCG8
20	7840	ABCG1	ZNF202
21	21	ABCG4	ABCG4
21	6271	ABCG4	SET
21	20	ABCG4	ABCG1
21	7	ABCG4	ABCA1
21	5973	ABCG4	RPE
21	689	ABCG4	BMPR2
21	6326	ABCG4	SH2B3
21	6502	ABCG4	SMARCA4
21	2645	ABCG4	GC
21	5831	ABCG4	REST
22	6271	ABCG8	SET
22	22	ABCG8	ABCG8
22	7948	ABCG8	HEPATOCYTES
22	13432	ABCG8	EZETIMIBE
22	7090	ABCG8	TIMP2
22	4292	ABCG8	MTTP
22	14449	ABCG8	PIOGLITAZONE
22	7	ABCG8	ABCA1
22	20	ABCG8	ABCG1
23	23	ABHD5	ABHD5
23	3910	ABHD5	MADD
23	5218	ABHD5	PNPLA2
23	7036	ABHD5	TG
23	2645	ABHD5	GC
23	5831	ABHD5	REST
23	6271	ABHD5	SET
23	9729	ABHD5	OBESITY
24	24	ABI1	ABI1
25	25	ABI2	ABI2
25	24	ABI2	ABI1
25	6271	ABI2	SET
25	6607	ABI2	SOS2
25	2231	ABI2	ERF
25	26	ABI2	ABI3
25	4317	ABI2	MYB
26	26	ABI3	ABI3
26	6271	ABI3	SET
26	6684	ABI3	SRC
26	2213	ABI3	EPS8
27	6271	ABI3BP	SET
27	27	ABI3BP	ABI3BP
27	14957	ABI3BP	THYROID
27	6684	ABI3BP	SRC
28	636	ABL1	BCR
28	7006	ABL1	TES
28	28	ABL1	ABL1
28	13136	ABL1	DASATINIB
28	13701	ABL1	IMATINIB
28	13393	ABL1	ESTROGEN
28	6684	ABL1	SRC
28	6271	ABL1	SET
28	7053	ABL1	TH
28	820	ABL1	C5
28	5897	ABL1	RIN1
28	6599	ABL1	SORBS1
28	5479	ABL1	PSMA7
28	228	ABL1	ALK
28	1772	ABL1	DDR1
28	2069	ABL1	EGFR
28	5831	ABL1	REST
28	1558	ABL1	CRK
28	4488	ABL1	NES
28	1192	ABL1	CDK5
28	5514	ABL1	PSTPIP1
28	2970	ABL1	HCK
28	2558	ABL1	FYN
28	14220	ABL1	NILOTINIB
28	14438	ABL1	PHENYLEPHRINE
28	10071	ABL1	RETINOBLASTOMA
29	2970	ABL2	HCK
29	6684	ABL2	SRC
29	28	ABL2	ABL1
29	1992	ABL2	DVL2
29	1268	ABL2	CFH
29	29	ABL2	ABL2
29	2259	ABL2	ETV6
29	636	ABL2	BCR
29	6271	ABL2	SET
29	5479	ABL2	PSMA7
29	228	ABL2	ALK
29	1772	ABL2	DDR1
29	2069	ABL2	EGFR
29	501	ABL2	ATM
29	534	ABL2	ATR
29	2068	ABL2	EGF
29	4304	ABL2	MUSK
30	6271	ABLIM1	SET
30	3218	ABLIM1	ID2
30	6614	ABLIM1	SOX2
30	7712	ABLIM1	WNT3A
30	10132	ABLIM1	PHEOCHROMOCYTOMA
30	4010	ABLIM1	MARCKS
31	6271	ABLIM3	SET
31	5878	ABLIM3	RHO
31	30	ABLIM3	ABLIM1
31	31	ABLIM3	ABLIM3
31	10223	ABLIM3	HEPATOBLASTOMA
31	5179	ABLIM3	PLK1
32	6271	ABR	SET
32	32	ABR	ABR
32	636	ABR	BCR
32	5672	ABR	RAC1
32	5878	ABR	RHO
32	4200	ABR	MMP9
32	6684	ABR	SRC
32	6259	ABR	SERPINC1
32	5673	ABR	RAC2
32	5727	ABR	RAP1A
32	5879	ABR	RHOA
32	11462	ABR	MEDULLOBLASTOMA
32	1140	ABR	CDC42
33	6271	ABRA	SET
33	4157	ABRA	MKL1
33	5878	ABRA	RHO
33	6689	ABRA	SRF
33	7940	ABRA	AKT
33	5879	ABRA	RHOA
33	33	ABRA	ABRA
33	898	ABRA	CAMP
33	3491	ABRA	JUN
33	2645	ABRA	GC
33	5831	ABRA	REST
34	6955	ABT1	TBP
34	6271	ABT1	SET
34	3218	ABT1	ID2
34	6614	ABT1	SOX2
34	3219	ABT1	ID3
34	34	ABT1	ABT1
34	3063	ABT1	HLA-B
35	6271	ABTB1	SET
35	2045	ABTB1	EEF1A1
35	1660	ABTB1	CUL3
35	2073	ABTB1	EGR2
35	5521	ABTB1	PTEN
35	3218	ABTB1	ID2
35	3219	ABTB1	ID3
35	2645	ABTB1	GC
35	5831	ABTB1	REST
36	6271	ABTB2	SET
36	2626	ABTB2	GAS1
36	3218	ABTB2	ID2
36	6614	ABTB2	SOX2
36	2645	ABTB2	GC
36	5831	ABTB2	REST
37	14686	ACAA2	ROSUVASTATIN
37	37	ACAA2	ACAA2
37	694	ACAA2	BNIP3
37	10222	ACAA2	OSTEOSARCOMA
37	6605	ACAA2	SORT1
37	1086	ACAA2	CD36
37	5582	ACAA2	PTRF
37	6271	ACAA2	SET
38	6271	ACACA	SET
38	797	ACACA	C2
38	706	ACACA	BRCA1
38	707	ACACA	BRCA2
38	38	ACACA	ACACA
38	2349	ACACA	FAS
38	148	ACACA	AFP
38	7948	ACACA	HEPATOCYTES
38	2026	ACACA	ECD
39	6271	ACAD8	SET
39	49	ACAD8	ACD
39	2645	ACAD8	GC
39	5831	ACAD8	REST
39	39	ACAD8	ACAD8
39	20	ACAD8	ABCG1
40	6271	ACADM	SET
40	40	ACADM	ACADM
40	6622	ACADM	SP1
40	2645	ACADM	GC
40	5831	ACADM	REST
40	7521	ACADM	UCP3
40	7939	ACADM	MAPK
40	7036	ACADM	TG
40	9729	ACADM	OBESITY
40	3469	ACADM	IVD
41	6271	ACADVL	SET
41	49	ACADVL	ACD
41	6096	ACADVL	RYR1
41	3236	ACADVL	IFITM1
41	41	ACADVL	ACADVL
41	1528	ACADVL	CPT1A
41	3748	ACADVL	LCT
41	10544	ACADVL	ADRENOLEUKODYSTROPHY
41	14474	ACADVL	POTASSIUM
42	6271	ACAN	SET
42	1479	ACAN	COMP
42	10904	ACAN	PSEUDOACHONDROPLASIA
42	42	ACAN	ACAN
42	7945	ACAN	IL-6
42	103	ACAN	ADAMTS5
42	100	ACAN	ADAMTS1
42	102	ACAN	ADAMTS4
42	3147	ACAN	HR
42	4187	ACAN	MMP12
42	4197	ACAN	MMP3
42	7944	ACAN	INTERLEUKIN
42	1876	ACAN	DMP1
43	43	ACAP1	ACAP1
43	151	ACAP1	AGAP1
43	366	ACAP1	ARF1
43	370	ACAP1	ARF6
43	6271	ACAP1	SET
43	6684	ACAP1	SRC
43	7944	ACAP1	INTERLEUKIN
43	451	ACAP1	ASAP1
43	2299	ACAP1	F2
43	6621	ACAP1	SOX9
43	6709	ACAP1	SRY
44	6271	ACAT2	SET
44	7	ACAT2	ABCA1
44	44	ACAT2	ACAT2
44	7036	ACAT2	TG
44	349	ACAT2	APOE
44	531	ACAT2	ATPAF2
44	2612	ACAT2	GALNT2
44	6687	ACAT2	SREBF1
44	689	ACAT2	BMPR2
44	6326	ACAT2	SH2B3
44	6502	ACAT2	SMARCA4
45	6271	ACBD3	SET
45	45	ACBD3	ACBD3
45	4724	ACBD3	NUMB
45	6754	ACBD3	STAR
45	7386	ACBD3	TSPO
45	898	ACBD3	CAMP
45	5397	ACBD3	PRKAR1A
45	2645	ACBD3	GC
45	5831	ACBD3	REST
46	6271	ACCN2	SET
46	46	ACCN2	ACCN2
46	13636	ACCN2	HALOPERIDOL
46	11462	ACCN2	MEDULLOBLASTOMA
46	552	ACCN2	AVP
46	6598	ACCN2	SON
46	1116	ACCN2	CD86
46	13693	ACCN2	IBUPROFEN
46	5069	ACCN2	PICK1
46	13515	ACCN2	FLURBIPROFEN
47	47	ACCN3	ACCN3
47	1116	ACCN3	CD86
47	13693	ACCN3	IBUPROFEN
47	7363	ACCN3	TRPV1
47	4618	ACCN3	NPFF
47	13515	ACCN3	FLURBIPROFEN
47	4531	ACCN3	NGF
48	6271	ACCS	SET
48	7708	ACCS	WNK1
48	2645	ACCS	GC
48	5831	ACCS	REST
48	936	ACCS	CASP7
48	939	ACCS	CASP9
48	5032	ACCS	PGR
48	14518	ACCS	PROGESTERONE
48	5700	ACCS	RAG1
48	5701	ACCS	RAG2
49	49	ACD	ACD
49	6271	ACD	SET
49	1864	ACD	DLL1
49	2441	ACD	FGF8
49	7712	ACD	WNT3A
49	7263	ACD	TPP1
49	5270	ACD	POT1
49	2645	ACD	GC
49	5831	ACD	REST
49	7005	ACD	TERT
49	7200	ACD	TNKS
49	7202	ACD	TNKS2
49	13382	ACD	ERYTHROMYCIN
50	6271	ACE2	SET
50	13393	ACE2	ESTROGEN
50	14291	ACE2	OLMESARTAN
50	50	ACE2	ACE2
50	14824	ACE2	STREPTOZOCIN
50	13915	ACE2	LISINOPRIL
50	259	ACE2	ANG
50	92	ACE2	ADAM17
50	7940	ACE2	AKT
50	9729	ACE2	OBESITY
51	51	ACHE	ACHE
51	11462	ACHE	MEDULLOBLASTOMA
51	2645	ACHE	GC
51	5831	ACHE	REST
51	9737	ACHE	NEUROBLASTOMA
51	6271	ACHE	SET
51	797	ACHE	C2
51	2812	ACHE	GPI
51	616	ACHE	BCHE
51	942	ACHE	CAT
51	6360	ACHE	SHH
51	14874	ACHE	TACRINE
51	14669	ACHE	RIVASTIGMINE
52	6271	ACIN1	SET
53	6271	ACLY	SET
53	4892	ACLY	PC
53	4288	ACLY	MTOR
53	53	ACLY	ACLY
53	2308	ACLY	F9
53	2349	ACLY	FAS
54	6271	ACOX1	SET
54	54	ACOX1	ACOX1
54	7948	ACOX1	HEPATOCYTES
54	10544	ACOX1	ADRENOLEUKODYSTROPHY
54	2349	ACOX1	FAS
55	6271	ACP1	SET
57	6271	ACP6	SET
57	294	ACP6	ANXA9
57	3826	ACP6	LPA
57	2645	ACP6	GC
57	5831	ACP6	REST
57	5161	ACP6	PLD1
57	5162	ACP6	PLD2
58	2645	ACPP	GC
58	4038	ACPP	MBP
58	4909	ACPP	PCM1
59	6271	ACR	SET
59	59	ACR	ACR
59	4599	ACR	NOS2
59	4120	ACR	MET
59	5469	ACR	PSG1
60	6271	ACSL6	SET
61	6271	ACSS2	SET
61	61	ACSS2	ACSS2
61	2299	ACSS2	F2
61	6622	ACSS2	SP1
61	6626	ACSS2	SP3
62	6271	ACTA1	SET
62	62	ACTA1	ACTA1
62	2478	ACTA1	FLNC
62	4321	ACTA1	MYBPC1
62	228	ACTA1	ALK
62	1772	ACTA1	DDR1
62	2069	ACTA1	EGFR
62	6357	ACTA1	SHE
62	7604	ACTA1	VASP
62	7940	ACTA1	AKT
62	2068	ACTA1	EGF
62	14474	ACTA1	POTASSIUM
62	3097	ACTA1	HNF4A
62	4120	ACTA1	MET
62	4173	ACTA1	MLLT4
62	1875	ACTA1	DMD
62	6109	ACTA1	S100A6
62	3147	ACTA1	HR
62	3779	ACTA1	LIF
62	5879	ACTA1	RHOA
62	7205	ACTA1	TNNI1
62	942	ACTA1	CAT
63	2645	ACTA2	GC
63	5831	ACTA2	REST
63	4756	ACTA2	ODC1
63	5474	ACTA2	PSMA2
63	11312	ACTA2	RHABDOMYOSARCOMA
63	63	ACTA2	ACTA2
63	869	ACTA2	CAD
63	7043	ACTA2	TGFBR1
63	7044	ACTA2	TGFBR2
63	4200	ACTA2	MMP9
63	4258	ACTA2	MSX1
63	4259	ACTA2	MSX2
63	682	ACTA2	BMP4
63	4798	ACTA2	OSR1
63	7939	ACTA2	MAPK
63	6999	ACTA2	TEK
63	2161	ACTA2	EMX2
63	4879	ACTA2	PAX2
64	6271	ACTB	SET
64	3421	ACTB	ISG15
64	228	ACTB	ALK
64	1772	ACTB	DDR1
64	2069	ACTB	EGFR
64	2068	ACTB	EGF
64	4851	ACTB	PAM
65	14219	ACTC1	NIFEDIPINE
65	2050	ACTC1	EEF2
65	797	ACTC1	C2
65	4101	ACTC1	MEF2A
65	4104	ACTC1	MEF2D
65	7945	ACTC1	IL-6
65	1191	ACTC1	CDK4
65	2634	ACTC1	GATA4
65	3259	ACTC1	IGF1R
65	3260	ACTC1	IGF2
65	3387	ACTC1	INSR
65	679	ACTC1	BMP2
65	682	ACTC1	BMP4
65	3422	ACTC1	ISL1
65	6271	ACTC1	SET
65	5727	ACTC1	RAP1A
65	4332	ACTC1	MYF5
65	4103	ACTC1	MEF2C
66	6271	ACTG1	SET
66	797	ACTG1	C2
66	2645	ACTG1	GC
66	5831	ACTG1	REST
66	4324	ACTG1	MYC
66	228	ACTG1	ALK
66	1772	ACTG1	DDR1
66	2069	ACTG1	EGFR
66	66	ACTG1	ACTG1
66	1201	ACTG1	CDK9
66	64	ACTG1	ACTB
66	7948	ACTG1	HEPATOCYTES
66	14957	ACTG1	THYROID
67	6271	ACTG2	SET
67	67	ACTG2	ACTG2
67	4357	ACTG2	MYOCD
67	6689	ACTG2	SRF
67	3491	ACTG2	JUN
67	4892	ACTG2	PC
67	12159	ACTG2	CRYPTORCHIDISM
67	243	ACTG2	AMELX
67	1131	ACTG2	CDC25B
67	2514	ACTG2	FOXM1
67	682	ACTG2	BMP4
67	4911	ACTG2	PCNA
67	6360	ACTG2	SHH
67	6113	ACTG2	S100B
67	4120	ACTG2	MET
67	5831	ACTG2	REST
67	2645	ACTG2	GC
68	6271	ACTL6A	SET
68	7771	ACTL6A	YY1
68	6685	ACTL6A	SRCAP
69	689	ACTL6B	BMPR2
69	6326	ACTL6B	SH2B3
69	6502	ACTL6B	SMARCA4
69	2337	ACTL6B	FANCA
69	6271	ACTL6B	SET
69	2645	ACTL6B	GC
69	5831	ACTL6B	REST
70	6271	ACTN1	SET
70	3355	ACTN1	ILK
70	14438	ACTN1	PHENYLEPHRINE
70	1192	ACTN1	CDK5
70	70	ACTN1	ACTN1
70	5879	ACTN1	RHOA
70	7948	ACTN1	HEPATOCYTES
70	2645	ACTN1	GC
70	5831	ACTN1	REST
70	3833	ACTN1	LPP
70	228	ACTN1	ALK
70	1772	ACTN1	DDR1
70	2069	ACTN1	EGFR
70	2068	ACTN1	EGF
70	370	ACTN1	ARF6
70	846	ACTN1	CA3
71	71	ACTN2	ACTN2
71	72	ACTN2	ACTN3
71	6271	ACTN2	SET
71	4101	ACTN2	MEF2A
71	2287	ACTN2	EYA1
71	2441	ACTN2	FGF8
71	6396	ACTN2	SIX1
71	1875	ACTN2	DMD
71	6689	ACTN2	SRF
71	7150	ACTN2	TMOD1
71	90	ACTN2	ADAM12
72	6271	ACTN3	SET
72	72	ACTN3	ACTN3
72	71	ACTN3	ACTN2
72	7006	ACTN3	TES
73	71	ACTN4	ACTN2
73	72	ACTN4	ACTN3
73	6271	ACTN4	SET
73	73	ACTN4	ACTN4
73	2985	ACTN4	HDAC7
73	13393	ACTN4	ESTROGEN
73	2046	ACTN4	EEF1A2
73	9737	ACTN4	NEUROBLASTOMA
73	2069	ACTN4	EGFR
73	228	ACTN4	ALK
73	1772	ACTN4	DDR1
73	7940	ACTN4	AKT
73	4324	ACTN4	MYC
73	5879	ACTN4	RHOA
73	1656	ACTN4	CUGBP1
73	3911	ACTN4	MAF
73	3400	ACTN4	IQGAP1
73	4624	ACTN4	NPHS1
74	6271	ACTR10	SET
74	14474	ACTR10	POTASSIUM
74	2645	ACTR10	GC
74	5831	ACTR10	REST
74	6259	ACTR10	SERPINC1
75	5179	ACTR1A	PLK1
75	5232	ACTR1A	POLE
75	2645	ACTR1A	GC
75	5831	ACTR1A	REST
76	6271	ACTR1B	SET
76	13393	ACTR1B	ESTROGEN
77	6271	ACTR2	SET
77	438	ACTR2	ARPC2
77	439	ACTR2	ARPC3
77	2719	ACTR2	GLI3
77	3776	ACTR2	LHX2
77	5878	ACTR2	RHO
77	4120	ACTR2	MET
77	440	ACTR2	ARPC4
78	6271	ACTR3	SET
78	438	ACTR3	ARPC2
78	439	ACTR3	ARPC3
78	2074	ACTR3	EHBP1
78	2075	ACTR3	EHD1
78	2076	ACTR3	EHD2
78	2211	ACTR3	EPS15
78	5672	ACTR3	RAC1
78	5878	ACTR3	RHO
78	5879	ACTR3	RHOA
78	9737	ACTR3	NEUROBLASTOMA
78	5069	ACTR3	PICK1
78	366	ACTR3	ARF1
78	1140	ACTR3	CDC42
78	2841	ACTR3	GRB2
78	4120	ACTR3	MET
78	440	ACTR3	ARPC4
78	1177	ACTR3	CDK1
78	5465	ACTR3	PSD
79	6271	ACTR8	SET
79	4200	ACTR8	MMP9
79	7252	ACTR8	TP73
79	7771	ACTR8	YY1
79	2645	ACTR8	GC
79	5831	ACTR8	REST
80	6271	ACVR1	SET
80	6492	ACVR1	SMAD1
80	6962	ACVR1	TBX5
80	80	ACVR1	ACVR1
80	2464	ACVR1	FKBP1A
80	682	ACVR1	BMP4
80	4245	ACVR1	MSC
80	228	ACVR1	ALK
81	81	ACVR1B	ACVR1B
81	1625	ACVR1B	CTGF
81	6271	ACVR1B	SET
81	228	ACVR1B	ALK
81	6495	ACVR1B	SMAD4
81	6494	ACVR1B	SMAD3
81	7409	ACVR1B	TTRAP
81	6684	ACVR1B	SRC
81	7939	ACVR1B	MAPK
81	7043	ACVR1B	TGFBR1
81	734	ACVR1B	BTC
81	2068	ACVR1B	EGF
81	2069	ACVR1B	EGFR
81	2963	ACVR1B	HBEGF
81	7037	ACVR1B	TGFA
81	2534	ACVR1B	FSHB
81	3147	ACVR1B	HR
81	6398	ACVR1B	SIX3
81	2441	ACVR1B	FGF8
81	7710	ACVR1B	WNT1
81	7712	ACVR1B	WNT3A
82	6271	ACVR1C	SET
82	3372	ACVR1C	INHBB
82	9729	ACVR1C	OBESITY
82	6494	ACVR1C	SMAD3
82	6408	ACVR1C	SKP1
82	6409	ACVR1C	SKP2
82	1187	ACVR1C	CDK2
82	228	ACVR1C	ALK
82	6493	ACVR1C	SMAD2
82	7732	ACVR1C	XIAP
82	7940	ACVR1C	AKT
82	10132	ACVR1C	PHEOCHROMOCYTOMA
82	846	ACVR1C	CA3
82	1260	ACVR1C	CER1
82	2503	ACVR1C	FOXA2
82	682	ACVR1C	BMP4
82	684	ACVR1C	BMP7
82	2661	ACVR1C	GDF11
82	6495	ACVR1C	SMAD4
83	2299	ACVR2A	F2
83	2622	ACVR2A	GAPDH
83	6271	ACVR2A	SET
83	14518	ACVR2A	PROGESTERONE
83	7629	ACVR2A	VIP
83	6495	ACVR2A	SMAD4
83	13393	ACVR2A	ESTROGEN
84	6271	ACVR2B	SET
84	84	ACVR2B	ACVR2B
84	2661	ACVR2B	GDF11
84	325	ACVR2B	APC
84	3492	ACVR2B	JUNB
84	7629	ACVR2B	VIP
84	14518	ACVR2B	PROGESTERONE
84	2299	ACVR2B	F2
84	2622	ACVR2B	GAPDH
85	6271	ACVRL1	SET
85	85	ACVRL1	ACVRL1
85	2166	ACVRL1	ENG
85	228	ACVRL1	ALK
85	6492	ACVRL1	SMAD1
85	6496	ACVRL1	SMAD5
85	5831	ACVRL1	REST
85	5672	ACVRL1	RAC1
85	5879	ACVRL1	RHOA
85	14414	ACVRL1	PENTOSTATIN
85	4837	ACVRL1	PAH
85	6493	ACVRL1	SMAD2
85	6494	ACVRL1	SMAD3
85	2064	ACVRL1	EFNB2
85	4245	ACVRL1	MSC
85	4892	ACVRL1	PC
85	6684	ACVRL1	SRC
86	86	ACY1	ACY1
86	6271	ACY1	SET
87	6271	ACY3	SET
88	6271	ADAM10	SET
88	88	ADAM10	ADAM10
88	569	ADAM10	BACE1
88	4675	ADAM10	NRG1
88	7940	ADAM10	AKT
88	558	ADAM10	AXL
88	2026	ADAM10	ECD
88	6291	ADAM10	SFRP1
88	92	ADAM10	ADAM17
88	7945	ADAM10	IL-6
88	7922	ADAM10	BLOOD-BRAIN
88	338	ADAM10	APLP2
88	6684	ADAM10	SRC
88	353	ADAM10	APP
88	7006	ADAM10	TES
88	7162	ADAM10	TNF
88	13393	ADAM10	ESTROGEN
89	6271	ADAM11	SET
89	6709	ADAM11	SRY
89	942	ADAM11	CAT
89	12897	ADAM11	CALCITRIOL
89	89	ADAM11	ADAM11
89	95	ADAM11	ADAM22
89	96	ADAM11	ADAM23
92	6271	ADAM17	SET
92	92	ADAM17	ADAM17
92	7940	ADAM17	AKT
92	3636	ADAM17	KIT
92	5534	ADAM17	PTH
92	7162	ADAM17	TNF
92	1004	ADAM17	CCL20
92	1050	ADAM17	CCR6
92	2069	ADAM17	EGFR
92	1095	ADAM17	CD44
92	4675	ADAM17	NRG1
92	88	ADAM17	ADAM10
92	7945	ADAM17	IL-6
92	1672	ADAM17	CXCL1
92	353	ADAM17	APP
92	365	ADAM17	AREG
92	2068	ADAM17	EGF
92	2230	ADAM17	EREG
92	7165	ADAM17	TNFAIP6
92	14518	ADAM17	PROGESTERONE
92	824	ADAM17	C6
92	2645	ADAM17	GC
92	6622	ADAM17	SP1
92	2693	ADAM17	GHR
92	3475	ADAM17	JAK2
92	7944	ADAM17	INTERLEUKIN
92	4603	ADAM17	NOTCH1
92	6684	ADAM17	SRC
92	2545	ADAM17	FURIN
93	93	ADAM19	ADAM19
93	2068	ADAM19	EGF
93	4684	ADAM19	NRP1
93	6271	ADAM19	SET
93	3213	ADAM19	ICAM3
93	5523	ADAM19	PTGDR
93	2545	ADAM19	FURIN
93	1437	ADAM19	CNTNAP2
93	2594	ADAM19	GABRR1
93	2595	ADAM19	GABRR2
93	3893	ADAM19	LY96
93	4038	ADAM19	MBP
93	6762	ADAM19	STAT6
93	1554	ADAM19	CRIP2
93	4214	ADAM19	MOS
93	2254	ADAM19	ETS1
93	4603	ADAM19	NOTCH1
93	12897	ADAM19	CALCITRIOL
93	7944	ADAM19	INTERLEUKIN
93	90	ADAM19	ADAM12
